"Gmina","TERYT"
"Łasin","0406033"
"Łask","1003023"
"Łaskarzew","1403021"
"Łaskarzew","1403062"
"Łaszczów","0618062"
"Łaziska","0612042"
"Łaziska Górne","2408011"
"Łazy","2416053"
"Łąck","1419072"
"Łącko","1210092"
"Łączna","2610032"
"Łeba","2208021"
"Łęczna","0610033"
"Łęczyca","1004011"
"Łęczyca","1004052"
"Łęczyce","2215082"
"Łęka Opatowska","3008042"
"Łękawica","2417072"
"Łęki Szlacheckie","1010052"
"Łęknica","0811011"
"Łobez","3218023"
"Łobżenica","3019043"
"Łochów","1433053"
"Łodygowice","2417082"
"Łomazy","0601092"
"Łomianki","1432053"
"Łomża","2007022"
"Łoniów","2609052"
"Łopiennik Górny","0606072"
"Łopuszno","2604082"
"Łosice","1410023"
"Łososina Dolna","1210102"
"Łowicz","1005011"
"Łowicz","1005072"
"Łódź-Bałuty","1061029"
"Łódź-Górna","1061039"
"Łódź-Polesie","1061049"
"Łódź-Śródmieście","1061059"
"Łódź-Widzew","1061069"
"Łubianka","0415052"
"Łubniany","1609052"
"Łubnice","1018052"
"Łubnice","2612022"
"Łubowo","3003062"
"Łukowa","0602092"
"Łukowica","1207082"
"Łuków","0611011"
"Łuków","0611052"
"Łukta","2815042"
"Łużna","1205062"
"Łyse","1415072"
"Łysomice","0415062"
"Łyszkowice","1005082"
"Maciejowice","1403072"
"Magnuszew","1407062"
"Majdan Królewski","1806032"
"Maków","1015062"
"Maków Mazowiecki","1411011"
"Maków Podhalański","1215063"
"Malanów","3027052"
"Malbork","2209011"
"Malbork","2209042"
"Malczyce","0218022"
"Malechowo","3213042"
"Mała Wieś","1419082"
"Małdyty","2815052"
"Małkinia Górna","1416052"
"Małogoszcz","2602033"
"Małomice","0810053"
"Mały Płock","2006042"
"Manowo","3209042"
"Marcinowice","0219052"
"Marciszów","0207042"
"Margonin","3001043"
"Marianowo","3214082"
"Marki","1434021"
"Marklowice","2415082"
"Markowa","1810052"
"Markusy","2804042"
"Markuszów","0614072"
"Masłowice","1012102"
"Masłów","2604092"
"Maszewo","0802072"
"Maszewo","3204033"
"M. Biała Podlaska","0661011"
"M. Białystok","2061011"
"M. Bielsko-Biała","2461011"
"M. Bydgoszcz","0461011"
"M. Bytom","2462011"
"M. Chełm","0662011"
"M. Chorzów","2463011"
"M. Częstochowa","2464011"
"M. Dąbrowa Górnicza","2465011"
"Medyka","1813062"
"M. Elbląg","2861011"
"Mełgiew","0617022"
"Męcinka","0205032"
"Mędrzechów","1204042"
"M. Gdańsk","2261011"
"M. Gdynia","2262011"
"M. Gliwice","2466011"
"M. Gorzów Wielkopolski","0861011"
"M. Grudziądz","0462011"
"Miasteczko Krajeńskie","3019052"
"Miasteczko Śląskie","2413021"
"Miastko","2201063"
"Miastkowo","2007032"
"Miastków Kościelny","1403082"
"Miączyn","0620062"
"Michałowice","1206082"
"Michałowice","1421042"
"Michałowo","2002072"
"Michałów","2608032"
"Michów","0608082"
"Miechów","1208053"
"Miedziana Góra","2604102"
"Miedzichowo","3015032"
"Miedzna","1433062"
"Miedźna","2410032"
"Miedźno","2406042"
"Miejsce Piastowe","1807072"
"Miejska Górka","3022033"
"Mielec","1811011"
"Mielec","1811052"
"Mieleszyn","3003072"
"Mielnik","2010052"
"Mielno","3209052"
"Mieroszów","0221063"
"Mierzęcice","2401052"
"Mieszkowice","3206053"
"Mieścisko","3028042"
"Mietków","0223062"
"Międzybórz","0214053"
"Międzychód","3014033"
"Międzylesie","0208103"
"Międzyrzec Podlaski","0601011"
"Międzyrzec Podlaski","0601102"
"Międzyrzecz","0803023"
"Międzyzdroje","3207043"
"Miękinia","0218032"
"Mikołajki","2810023"
"Mikołajki Pomorskie","2216022"
"Mikołów","2408021"
"Mikstat","3018063"
"Milanów","0613032"
"Milanówek","1405011"
"Milejczyce","2010062"
"Milejewo","2804052"
"Milejów","0610042"
"Milicz","0213033"
"Milówka","2417092"
"Miłakowo","2815063"
"Miłki","2806062"
"Miłkowice","0209062"
"Miłomłyn","2815073"
"Miłoradz","2209062"
"Miłosław","3030023"
"Mińsk Mazowiecki","1412011"
"Mińsk Mazowiecki","1412112"
"Mircze","0604052"
"Mirosławiec","3217033"
"Mirów","1430032"
"Mirsk","0212043"
"Mirzec","2611032"
"M. Jastrzębie-Zdrój","2467011"
"M. Jaworzno","2468011"
"M. Jelenia Góra","0261011"
"M. Kalisz","3061011"
"M. Katowice","2469011"
"M. Kielce","2661011"
"M. Konin","3062011"
"M. Koszalin","3261011"
"M. Kraków","1261011"
"M. Krosno","1861011"
"M. Legnica","0262011"
"M. Leszno","3063011"
"M. Lublin","0663011"
"Mława","1413011"
"Młodzieszyn","1428042"
"M. Łomża","2062011"
"M. Łódź","1061011"
"Młynary","2804063"
"Młynarze","1411052"
"M. Mysłowice","2470011"
"Mniów","2604112"
"Mniszków","1007032"
"M. Nowy Sącz","1262011"
"Mochowo","1427032"
"Modliborzyce","0605062"
"Mogielnica","1406073"
"Mogilany","1206092"
"Mogilno","0409033"
"Mokobody","1426042"
"Mokotów","1465058"
"Mokrsko","1017042"
"M. Olsztyn","2862011"
"Mońki","2008063"
"M. Opole","1661011"
"Morawica","2604122"
"Morąg","2815083"
"Mordy","1426053"
"Moryń","3206063"
"Morzeszczyn","2214032"
"Mosina","3021103"
"Moskorzew","2613032"
"M. Ostrołęka","1461011"
"Moszczenica","1010062"
"Moszczenica","1205072"
"M. Piekary Śląskie","2471011"
"M. Piotrków Trybunalski","1062011"
"M. Płock","1462011"
"M. Poznań","3064011"
"M. Przemyśl","1862011"
"M. Radom","1463011"
"Mrągowo","2810011"
"Mrągowo","2810032"
"Mrocza","0410023"
"Mrozy","1412122"
"M. Ruda Śląska","2472011"
"M. Rybnik","2473011"
"M. Rzeszów","1863011"
"M. Siedlce","1464011"
"M. Siemianowice Śląskie","2474011"
"M. Skierniewice","1063011"
"M. Słupsk","2263011"
"M. Sopot","2264011"
"M. Sosnowiec","2475011"
"Mstów","2404102"
"M. st. Warszawa","1465011"
"M. Suwałki","2063011"
"Mszana","2415092"
"Mszana Dolna","1207021"
"Mszana Dolna","1207092"
"M. Szczecin","3262011"
"Mszczonów","1438023"
"Mściwojów","0205042"
"M. Świętochłowice","2476011"
"M. Świnoujście","3263011"
"M. Tarnobrzeg","1864011"
"M. Tarnów","1263011"
"M. Toruń","0463011"
"M. Tychy","2477011"
"Mucharz","1218052"
"Murowana Goślina","3021113"
"Murów","1609062"
"Muszyna","1210113"
"M. Włocławek","0464011"
"M. Wrocław","0264011"
"Mycielin","3007072"
"Mykanów","2404112"
"Mysłakowice","0206072"
"Myszków","2409011"
"Myszyniec","1415083"
"Myślenice","1209033"
"Myślibórz","3210043"
"M. Zabrze","2478011"
"M. Zamość","0664011"
"M. Zielona Góra","0862011"
"M. Żory","2479011"
"Nadarzyn","1421052"
"Nagłowice","2602042"
"Nakło nad Notecią","0410033"
"Nałęczów","0614083"
"Namysłów","1606023"
"Narew","2005082"
"Narewka","2005092"
"Narol","1809053"
"Naruszewo","1420072"
"Nasielsk","1414043"
"Nawojowa","1210122"
"Nekla","3030033"
"Nędza","2411062"
"Nidzica","2811043"
"Nieborów","1005092"
"Niebylec","1819032"
"Niechanowo","3003082"
"Niechlów","0204032"
"Niedrzwica Duża","0609102"
"Niedźwiada","0608092"
"Niedźwiedź","1207102"
"Niegosławice","0810062"
"Niegowa","2409032"
"Nielisz","0620072"
"Niemce","0609112"
"Niemcza","0202073"
"Niemodlin","1609073"
"Niepołomice","1219043"
"Nieporęt","1408032"
"Nieszawa","0401031"
"Nisko","1812053"
"Niwiska","1806042"
"Nowa Brzeźnica","1009032"
"Nowa Dęba","1820043"
"Nowa Karczma","2206072"
"Nowa Ruda","0208041"
"Nowa Ruda","0208112"
"Nowa Sarzyna","1808053"
"Nowa Słupia","2604132"
"Nowa Sól","0804011"
"Nowa Sól","0804052"
"Nowa Sucha","1428052"
"Nowa Wieś Lęborska","2208042"
"Nowa Wieś Wielka","0403052"
"Nowe","0414063"
"Nowe Brzesko","1214032"
"Nowe Miasteczko","0804063"
"Nowe Miasto","1420082"
"Nowe Miasto Lubawskie","2812011"
"Nowe Miasto Lubawskie","2812052"
"Nowe Miasto nad Pilicą","1406083"
"Nowe Miasto nad Wartą","3025032"
"Nowe Ostrowy","1002082"
"Nowe Piekuty","2013072"
"Nowe Skalmierzyce","3017023"
"Nowe Warpno","3211033"
"Nowinka","2001052"
"Nowodwór","0616032"
"Nowogard","3204043"
"Nowogrodziec","0201043"
"Nowogród","2007043"
"Nowogród Bobrzański","0809053"
"Nowogródek Pomorski","3210052"
"Nowosolna","1006082"
"Nowy Duninów","1419092"
"Nowy Dwór","2011062"
"Nowy Dwór Gdański","2210023"
"Nowy Dwór Mazowiecki","1414011"
"Nowy Kawęczyn","1015072"
"Nowy Korczyn","2601032"
"Nowy Staw","2209073"
"Nowy Targ","1211011"
"Nowy Targ","1211092"
"Nowy Tomyśl","3015043"
"Nowy Wiśnicz","1201063"
"Nowy Żmigród","1805072"
"Nozdrzec","1802062"
"Nur","1416062"
"Nurzec-Stacja","2010072"
"Nysa","1607053"
"Oborniki","3016013"
"Oborniki Śląskie","0220013"
"Obrazów","2609062"
"Obrowo","0415072"
"Obryte","1424022"
"Obrzycko","3024011"
"Obrzycko","3024042"
"Obsza","0602102"
"Ochota","1465068"
"Ochotnica Dolna","1211102"
"Odolanów","3017033"
"Odrzywół","1423042"
"Ogrodzieniec","2416063"
"Ojrzeń","1402062"
"Okonek","3031053"
"Oksa","2602052"
"Olecko","2813043"
"Olesno","1204052"
"Olesno","1608033"
"Oleszyce","1809063"
"Oleśnica","0214011"
"Oleśnica","0214062"
"Oleśnica","2612032"
"Olkusz","1212053"
"Olszanica","1821042"
"Olszanka","1410032"
"Olszanka","1601062"
"Olszewo-Borki","1415092"
"Olszówka","3009092"
"Olsztyn","2404122"
"Olsztynek","2814093"
"Olszyna","0210052"
"Oława","0215011"
"Oława","0215042"
"Opalenica","3015053"
"Opatowiec","2603042"
"Opatów","2406052"
"Opatów","2606043"
"Opatówek","3007082"
"Opinogóra Górna","1402072"
"Opoczno","1007043"
"Opole Lubelskie","0612053"
"Oporów","1002092"
"Orchowo","3023032"
"Orla","2003062"
"Orły","1813072"
"Orneta","2809053"
"Ornontowice","2408042"
"Orońsko","1430042"
"Orzesze","2408031"
"Orzysz","2816023"
"Osie","0414072"
"Osieck","1417062"
"Osieczna","2213072"
"Osieczna","3013033"
"Osiecznica","0201052"
"Osiek","0402082"
"Osiek","1213052"
"Osiek","2213082"
"Osiek","2612043"
"Osiek Jasielski","1805082"
"Osiek Mały","3009102"
"Osielsko","0403062"
"Osięciny","0411042"
"Osina","3204052"
"Osjaków","1017052"
"Ostaszewo","2210032"
"Ostroróg","3024053"
"Ostrowice","3203042"
"Ostrowiec Świętokrzyski","2607011"
"Ostrowite","3023042"
"Ostróda","2815011"
"Ostróda","2815092"
"Ostrów","1815022"
"Ostrówek","0608112"
"Ostrówek","1017062"
"Ostrów Lubelski","0608103"
"Ostrów Mazowiecka","1416011"
"Ostrów Mazowiecka","1416072"
"Ostrów Wielkopolski","3017011"
"Ostrów Wielkopolski","3017042"
"Ostrzeszów","3018073"
"Ośno Lubuskie","0805033"
"Oświęcim","1213011"
"Oświęcim","1213062"
"Otmuchów","1607063"
"Otwock","1417021"
"Otyń","0804072"
"Ozimek","1609083"
"Ozorków","1020021"
"Ozorków","1020062"
"Ożarowice","2413062"
"Ożarów","2606053"
"Ożarów Mazowiecki","1432063"
"Pabianice","1008021"
"Pabianice","1008072"
"Pacanów","2601042"
"Pacyna","1404032"
"Paczków","1607073"
"Padew Narodowa","1811062"
"Pajęczno","1009043"
"Pakosław","3022042"
"Pakosławice","1607082"
"Pakość","0407073"
"Pałecznica","1214042"
"Panki","2406062"
"Papowo Biskupie","0404052"
"Paprotnia","1426062"
"Paradyż","1007052"
"Parchowo","2201072"
"Parczew","0613043"
"Parysów","1403092"
"Parzęczew","1020072"
"Pasłęk","2804073"
"Pasym","2817043"
"Paszowice","0205052"
"Pawłosiów","1804062"
"Pawłowice","2410042"
"Pawłowiczki","1603042"
"Pawłów","2611042"
"Pawonków","2407072"
"Pątnów","1017072"
"Pcim","1209042"
"Pelplin","2214043"
"Pełczyce","3202053"
"Perlejewo","2010082"
"Perzów","3008052"
"Pęcław","0203052"
"Pęczniew","1011022"
"Pępowo","3004042"
"Piaseczno","1418043"
"Piaski","0617033"
"Piaski","3004052"
"Piastów","1421011"
"Piątek","1004062"
"Piątnica","2007052"
"Piechowice","0206031"
"Piecki","2810042"
"Piekoszów","2604142"
"Pielgrzymka","0226032"
"Pieniężno","2802053"
"Pieńsk","0225043"
"Pierzchnica","2604152"
"Pieszyce","0202031"
"Pietrowice Wielkie","2411072"
"Pilawa","1403103"
"Pilchowice","2405042"
"Pilica","2416073"
"Pilzno","1803063"
"Piła","3019011"
"Piława Górna","0202041"
"Pińczów","2608043"
"Pionki","1425011"
"Pionki","1425082"
"Piotrków Kujawski","0411053"
"Pisz","2816033"
"Piszczac","0601112"
"Piwniczna-Zdrój","1210133"
"Platerów","1410042"
"Platerówka","0210062"
"Pleszew","3020063"
"Pleśna","1216042"
"Płaska","2001062"
"Płoniawy-Bramura","1411062"
"Płońsk","1420011"
"Płońsk","1420092"
"Płoskinia","2802062"
"Płośnica","2803052"
"Płoty","3205043"
"Płużnica","0417042"
"Pniewy","1406092"
"Pniewy","3024063"
"Pobiedziska","3021123"
"Poczesna","2404132"
"Poddębice","1011033"
"Podedwórze","0613052"
"Podegrodzie","1210142"
"Podgórzyn","0206082"
"Podkowa Leśna","1405021"
"Pogorzela","3004063"
"Pokój","1606032"
"Pokrzywnica","1424032"
"Polanica-Zdrój","0208051"
"Polanka Wielka","1213072"
"Polanów","3209063"
"Police","3211043"
"Policzna","1436022"
"Polkowice","0216043"
"Polska Cerekiew","1603052"
"Połajewo","3002062"
"Połaniec","2612053"
"Połczyn-Zdrój","3216033"
"Pomiechówek","1414052"
"Poniatowa","0612063"
"Poniec","3004073"
"Popielów","1609092"
"Popów","2406072"
"Poraj","2409042"
"Porąbka","2402082"
"Poręba","2416011"
"Poronin","1217052"
"Postomino","3213052"
"Poświętne","1007062"
"Poświętne","1434082"
"Poświętne","2002082"
"Potęgowo","2212072"
"Potok Górny","0602112"
"Potok Wielki","0605072"
"Potworów","1423052"
"Powidz","3023052"
"Pozezdrze","2819022"
"Poznań-Grunwald","3064029"
"Poznań-Jeżyce","3064039"
"Poznań-Nowe Miasto","3064049"
"Poznań-Stare Miasto","3064059"
"Poznań-Wilda","3064069"
"Prabuty","2207043"
"Praga-Południe","1465078"
"Praga-Północ","1465088"
"Praszka","1608043"
"Prażmów","1418052"
"Prochowice","0209073"
"Promna","1401022"
"Prostki","2805042"
"Proszowice","1214053"
"Prószków","1609103"
"Pruchnik","1804072"
"Prudnik","1610043"
"Prusice","0220023"
"Pruszcz","0414082"
"Pruszcz Gdański","2204011"
"Pruszcz Gdański","2204042"
"Pruszków","1421021"
"Przasnysz","1422011"
"Przasnysz","1422072"
"Przechlewo","2203062"
"Przeciszów","1213082"
"Przecław","1811072"
"Przedbórz","1012113"
"Przedecz","3009113"
"Przelewice","3212042"
"Przemęt","3029012"
"Przemków","0216053"
"Przemyśl","1813082"
"Przerośl","2012042"
"Przesmyki","1426072"
"Przeworno","0217032"
"Przeworsk","1814011"
"Przeworsk","1814062"
"Przewóz","0811072"
"Przodkowo","2205032"
"Przybiernów","3204062"
"Przygodzice","3017052"
"Przykona","3027062"
"Przyłęk","1436032"
"Przyrów","2404142"
"Przystajń","2406082"
"Przysucha","1423063"
"Przytoczna","0803032"
"Przytuły","2007062"
"Przytyk","1425092"
"Przywidz","2204052"
"Psary","2401062"
"Pszczew","0803042"
"Pszczółki","2204062"
"Pszczyna","2410053"
"Pszów","2415011"
"Puchaczów","0610052"
"Puck","2211031"
"Puck","2211072"
"Puławy","0614011"
"Puławy","0614092"
"Pułtusk","1424043"
"Puńsk","2009042"
"Purda","2814102"
"Puszcza Mariańska","1438032"
"Puszczykowo","3021021"
"Pyrzyce","3212053"
"Pyskowice","2405021"
"Pysznica","1818032"
"Pyzdry","3030043"
"Raba Wyżna","1211112"
"Rabka-Zdrój","1211123"
"Rachanie","0618072"
"Raciąż","1420021"
"Raciąż","1420102"
"Raciążek","0401072"
"Racibórz","2411011"
"Raciechowice","1209052"
"Racławice","1208062"
"Raczki","2012052"
"Radecznica","0620082"
"Radgoszcz","1204062"
"Radków","0208123"
"Radków","2613042"
"Radlin","2415021"
"Radłów","1216052"
"Radłów","1608052"
"Radomin","0405052"
"Radomsko","1012011"
"Radomsko","1012122"
"Radomyśl nad Sanem","1818042"
"Radomyśl Wielki","1811083"
"Radoszyce","2605042"
"Radowo Małe","3218032"
"Radwanice","0216062"
"Radymno","1804021"
"Radymno","1804082"
"Radzanowo","1419102"
"Radzanów","1401032"
"Radzanów","1413042"
"Radziechowy-Wieprz","2417102"
"Radziejowice","1438042"
"Radziejów","0411011"
"Radziejów","0411062"
"Radziemice","1214062"
"Radziłów","2004032"
"Radzionków","2413031"
"Radzymin","1434093"
"Radzyń Chełmiński","0406043"
"Radzyń Podlaski","0615011"
"Radzyń Podlaski","0615062"
"Rajcza","2417112"
"Rajgród","2004043"
"Rakoniewice","3005043"
"Raków","2604162"
"Rakszawa","1810062"
"Raniżów","1806052"
"Raszków","3017063"
"Raszyn","1421062"
"Rawa Mazowiecka","1013011"
"Rawa Mazowiecka","1013042"
"Rawicz","3022053"
"Rąbino","3216042"
"Recz","3202063"
"Reda","2215011"
"Regimin","1402082"
"Regnów","1013052"
"Rejowiec","0606082"
"Rejowiec Fabryczny","0603011"
"Rejowiec Fabryczny","0603082"
"Rembertów","1465098"
"Reńska Wieś","1603062"
"Repki","1429062"
"Resko","3218043"
"Reszel","2808053"
"Rewal","3205072"
"Ręczno","1010072"
"Rędziny","2404152"
"Rogowo","0412032"
"Rogowo","0419052"
"Rogoźno","3016023"
"Rogów","1021052"
"Rogóźno","0406052"
"Rojewo","0407082"
"Rokiciny","1016072"
"Rokietnica","1804092"
"Rokietnica","3021132"
"Rokitno","0601122"
"Ropa","1205082"
"Ropczyce","1815033"
"Rossosz","0601132"
"Rościszewo","1427042"
"Rozdrażew","3012052"
"Rozogi","2817052"
"Rozprza","1010082"
"Roźwienica","1804102"
"Różan","1411073"
"Ruciane-Nida","2816043"
"Ruda-Huta","0603092"
"Ruda Maleniecka","2605052"
"Rudka","2003072"
"Rudna","0211032"
"Rudnik","0606092"
"Rudnik","2411082"
"Rudniki","1608062"
"Rudnik nad Sanem","1812063"
"Rudziniec","2405052"
"Ruja","0209082"
"Rumia","2215021"
"Rusiec","1001062"
"Rusinów","1423072"
"Rutka-Tartak","2012062"
"Rutki","2014032"
"Rybczewice","0617042"
"Rybnik","2473011"
"Rybno","1428062"
"Rybno","2803062"
"Rychliki","2804082"
"Rychtal","3008062"
"Rychwał","3010073"
"Ryczywół","3016032"
"Rydułtowy","2415031"
"Rydzyna","3013043"
"Ryglice","1216063"
"Ryjewo","2207052"
"Ryki","0616043"
"Rymanów","1807083"
"Rymań","3208052"
"Ryn","2806083"
"Rypin","0412011"
"Rypin","0412042"
"Rytro","1210152"
"Rytwiany","2612062"
"Rząśnia","1009052"
"Rząśnik","1435032"
"Rzeczenica","2203072"
"Rzeczniów","1409042"
"Rzeczyca","1016082"
"Rzekuń","1415102"
"Rzepiennik Strzyżewski","1216072"
"Rzepin","0805043"
"Rzewnie","1411082"
"Rzezawa","1201072"
"Rzgów","1006102"
"Rzgów","3010082"
"Sabnie","1429072"
"Sadki","0410042"
"Sadkowice","1013062"
"Sadlinki","2207062"
"Sadowie","2606062"
"Sadowne","1433072"
"Samborzec","2609072"
"Sandomierz","2609011"
"Sanniki","1404042"
"Sanok","1817011"
"Sanok","1817052"
"Santok","0801062"
"Sarnaki","1410052"
"Sawin","0603102"
"Secemin","2613052"
"Sejny","2009011"
"Sejny","2009052"
"Serniki","0608122"
"Serock","1408043"
"Serokomla","0611062"
"Sędziejowice","1003032"
"Sędziszów","2602063"
"Sędziszów Małopolski","1815043"
"Sękowa","1205092"
"Sępopol","2801063"
"Sępólno Krajeńskie","0413023"
"Sianów","3209073"
"Sicienko","0403072"
"Sidra","2011072"
"Siechnice","0223083"
"Sieciechów","1407072"
"Siedlce","1426082"
"Siedlec","3029022"
"Siedlisko","0804082"
"Siedliszcze","0603112"
"Siekierczyn","0210072"
"Siemiatycze","2010011"
"Siemiatycze","2010092"
"Siemiątkowo","1437052"
"Siemień","0613062"
"Siemkowice","1009062"
"Siemyśl","3208062"
"Sieniawa","1814073"
"Siennica","1412132"
"Siennica Różana","0606102"
"Sienno","1409052"
"Siepraw","1209062"
"Sieradz","1014011"
"Sieradz","1014082"
"Sierakowice","2205042"
"Sieraków","3014043"
"Sieroszewice","3017072"
"Sierpc","1427011"
"Sierpc","1427052"
"Siewierz","2401073"
"Sitkówka-Nowiny","2604172"
"Sitno","0620092"
"Skalbmierz","2603053"
"Skała","1206103"
"Skarbimierz","1601022"
"Skarszewy","2213093"
"Skaryszew","1425103"
"Skarżysko-Kamienna","2610011"
"Skarżysko Kościelne","2610042"
"Skawina","1206113"
"Skąpe","0808032"
"Skępe","0408073"
"Skierbieszów","0620102"
"Skierniewice","1015082"
"Skoczów","2403103"
"Skoki","3028053"
"Skołyszyn","1805092"
"Skomlin","1017082"
"Skoroszyce","1607092"
"Skórcz","2213021"
"Skórcz","2213102"
"Skórzec","1426092"
"Skrwilno","0412052"
"Skrzyszów","1216082"
"Skulsk","3010092"
"Skwierzyna","0803053"
"Słaboszów","1208072"
"Sława","0812013"
"Sławatycze","0601142"
"Sławków","2401081"
"Sławno","1007072"
"Sławno","3213021"
"Sławno","3213062"
"Sławoborze","3216052"
"Słomniki","1206123"
"Słońsk","0807032"
"Słopnice","1207112"
"Słubice","0805053"
"Słubice","1419112"
"Słupca","3023011"
"Słupca","3023062"
"Słupia","1015092"
"Słupia (Jędrzejowska)","2602072"
"Słupia (Konecka)","2605062"
"Słupno","1419122"
"Słupsk","2212082"
"Smętowo Graniczne","2213112"
"Smołdzino","2212092"
"Smyków","2605072"
"Sobienie-Jeziory","1417072"
"Sobków","2602082"
"Sobolew","1403112"
"Sobótka","0223073"
"Sochaczew","1428011"
"Sochaczew","1428072"
"Sochocin","1420112"
"Sokolniki","1018062"
"Sokołów Małopolski","1816113"
"Sokołów Podlaski","1429011"
"Sokołów Podlaski","1429082"
"Sokoły","2013082"
"Sokółka","2011083"
"Solec Kujawski","0403083"
"Solec nad Wisłą","1409062"
"Solec-Zdrój","2601052"
"Solina","1821052"
"Somianka","1435042"
"Somonino","2205052"
"Sompolno","3010103"
"Sońsk","1402092"
"Sorkwity","2810052"
"Sosnowica","0613072"
"Sosnówka","0601152"
"Sośnicowice","2405063"
"Sośnie","3017082"
"Sośno","0413032"
"Spiczyn","0610062"
"Spytkowice","1211132"
"Spytkowice","1218062"
"Srokowo","2808062"
"Stalowa Wola","1818011"
"Stanin","0611072"
"Stanisławów","1412142"
"Stara Biała","1419132"
"Stara Błotnica","1401042"
"Starachowice","2611011"
"Stara Dąbrowa","3214092"
"Stara Kamienica","0206092"
"Stara Kiszewa","2206082"
"Stara Kornica","1410062"
"Starcza","2404162"
"Stare Babice","1432072"
"Stare Bogaczowice","0221072"
"Stare Czarnowo","3206072"
"Stare Juchy","2805052"
"Stare Kurowo","0806032"
"Stare Miasto","3010112"
"Stare Pole","2209082"
"Stargard Szczeciński","3214011"
"Stargard Szczeciński","3214102"
"Starogard Gdański","2213031"
"Starogard Gdański","2213122"
"Staroźreby","1419142"
"Stary Brus","0619042"
"Stary Dzierzgoń","2216032"
"Stary Dzików","1809072"
"Stary Lubotyń","1416082"
"Stary Sącz","1210163"
"Stary Targ","2216042"
"Stary Zamość","0620112"
"Staszów","2612073"
"Stawiguda","2814112"
"Stawiski","2006053"
"Stawiszyn","3007093"
"Stąporków","2605083"
"Stegna","2210042"
"Stepnica","3204072"
"Sterdyń","1429092"
"Stęszew","3021143"
"Stężyca","0616052"
"Stężyca","2205062"
"Stoczek","1433082"
"Stoczek Łukowski","0611021"
"Stoczek Łukowski","0611082"
"Stolno","0404062"
"Stopnica","2601062"
"Stoszowice","0224042"
"Strachówka","1434102"
"Strawczyn","2604182"
"Stromiec","1401052"
"Stronie Śląskie","0208133"
"Strumień","2403113"
"Stryków","1020083"
"Stryszawa","1215072"
"Stryszów","1218072"
"Strzałkowo","3023072"
"Strzegom","0219063"
"Strzegowo","1413052"
"Strzelce","1002102"
"Strzelce Krajeńskie","0806043"
"Strzelce Opolskie","1611053"
"Strzelce Wielkie","1009072"
"Strzeleczki","1605032"
"Strzelin","0217043"
"Strzelno","0409043"
"Strzyżewice","0609122"
"Strzyżów","1819043"
"Stubno","1813092"
"Studzienice","2201082"
"Stupsk","1413062"
"Subkowy","2214052"
"Sucha Beskidzka","1215021"
"Suchań","3214113"
"Suchedniów","2610053"
"Suchowola","2011093"
"Suchożebry","1426102"
"Suchy Dąb","2204072"
"Suchy Las","3021152"
"Sulechów","0809063"
"Sulejów","1010093"
"Sulejówek","1412151"
"Sulęcin","0807043"
"Sulęczyno","2205072"
"Sulików","0225052"
"Sulmierzyce","1009082"
"Sulmierzyce","3012011"
"Sułkowice","1209073"
"Sułoszowa","1206132"
"Sułów","0620122"
"Supraśl","2002093"
"Suraż","2002103"
"Susiec","0618082"
"Susz","2807063"
"Suszec","2410062"
"Suwałki","2012072"
"Swarzędz","3021163"
"Syców","0214073"
"Sypniewo","1411092"
"Szadek","1019023"
"Szaflary","1211142"
"Szamocin","3001053"
"Szamotuły","3024073"
"Szastarka","0607062"
"Szczaniec","0808042"
"Szczawin Kościelny","1404052"
"Szczawnica","1211023"
"Szczawno-Zdrój","0221031"
"Szczebrzeszyn","0620133"
"Szczecinek","3215011"
"Szczecinek","3215062"
"Szczekociny","2416083"
"Szczerców","1001072"
"Szczucin","1204072"
"Szczuczyn","2004053"
"Szczurowa","1202072"
"Szczutowo","1427062"
"Szczyrk","2402011"
"Szczytna","0208143"
"Szczytniki","3007102"
"Szczytno","2817011"
"Szczytno","2817062"
"Szelków","1411102"
"Szemud","2215092"
"Szepietowo","2013092"
"Szerzyny","1216162"
"Szklarska Poręba","0206041"
"Szlichtyngowa","0812023"
"Szprotawa","0810073"
"Szreńsk","1413072"
"Sztabin","2001072"
"Sztum","2216053"
"Sztutowo","2210052"
"Szubin","0410053"
"Szudziałowo","2011102"
"Szulborze Wielkie","1416092"
"Szumowo","2014042"
"Szydłowiec","1430053"
"Szydłowo","1413082"
"Szydłowo","3019062"
"Szydłów","2612082"
"Szypliszki","2012082"
"Ścinawa","0211043"
"Ślemień","2417122"
"Ślesin","3010123"
"Śliwice","0416052"
"Śmigiel","3011053"
"Śniadowo","2007072"
"Śrem","3026043"
"Środa Śląska","0218043"
"Środa Wielkopolska","3025043"
"Śródmieście","1465108"
"Świątki","2814122"
"Świątniki Górne","1206143"
"Świdnica","0219011"
"Świdnica","0219072"
"Świdnica","0809072"
"Świdnik","0617011"
"Świdwin","3216011"
"Świdwin","3216062"
"Świebodzice","0219021"
"Świebodzin","0808053"
"Świecie","0414093"
"Świecie nad Osą","0406062"
"Świedziebnia","0402092"
"Świekatowo","0414102"
"Świeradów-Zdrój","0210021"
"Świercze","1424052"
"Świerczów","1606042"
"Świerklaniec","2413072"
"Świerklany","2412052"
"Świerzawa","0226043"
"Świerzno","3207052"
"Świeszyno","3209082"
"Święciechowa","3013052"
"Świętajno","2813052"
"Świętajno","2817072"
"Świlcza","1816122"
"Świnice Warckie","1004072"
"Świnna","2417132"
"Tarczyn","1418063"
